3319,180,76
-1,1000,1000
3560,179,72
7855,186,75
7870,183,76
7882,196,90
7945,185,73
14869,183,85
20465,182,75
20612,184,82
25413,175,73
25867,187,80
49876,185,82
105338,177,75
120339,180,70
167145,178,74
230020,180,75
279717,177,71
333571,168,64
370224,189,75
-1,1000,1000
413002,192,80
3324,189,85
3350,175,74
3360,167,62
3397,189,84
3551,186,80
7887,193,86
7892,189,84
8032,188,81
8246,189,76
8495,177,70
8544,191,93
8625,177,75
14748,191,85
22889,182,70
25553,178,75
25707,173,74
26010,192,88
31528,168,68
40787,176,63
69404,178,77
105333,175,75
135103,188,78
235555,191,83
423162,182,78
3361,169,62
3413,182,73
7905,190,94
7906,170,63
-1,1000,1000
7910,193,82
7918,185,71
7922,193,81
7934,174,65
7936,191,84
7938,181,78
7939,175,65
8135,185,75
8249,194,85
8935,193,83
20606,192,87
21095,182,70
40335,169,64
70122,194,84
71703,187,81
101652,187,80
134513,184,76
256998,187,77
397174,193,88
397178,187,72
116,175,74
370,193,92
4908,171,65
7868,175,70
7907,180,76
7964,182,67
8140,172,73
8319,176,70
8392,175,67
8514,193,87
14870,195,90
15808,181,76
25393,188,84
25747,175,75
49872,169,72
120353,175,72
214220,191,91
222220,178,63
237268,191,82
257899,188,77
286831,185,80
346101,175,69
3327,192,80
-1,1000,1000
3436,180,72
3523,190,81
3577,186,85
7967,184,83
7974,188,93
7978,183,77
8004,188,76
8620,185,80
8826,185,79
8833,189,83
9227,173,71
21164,190,83
50102,188,84
61962,186,75
70215,172,68
94764,179,72
104851,191,85
134294,187,79
230883,179,66
240270,187,77
252365,173,68
254898,182,77
293686,173,67
703,189,78
7885,179,85
7899,183,83
8116,173,75
8136,185,84
8144,173,66
8384,178,70
8580,193,79
8953,188,84
8955,178,73
15806,199,98
20857,186,81
29640,184,76
61941,201,93
61988,173,72
70389,172,67
135114,185,84
240032,189,77
268776,192,82
281135,183,70
-1,1000,1000
447538,169,71
7879,176,68
7919,188,82
8143,185,75
8239,170,70
8240,177,77
8245,183,83
8624,180,72
10131,185,77
20428,197,92
25706,174,72
25854,190,85
32636,183,78
77558,186,77
145692,182,82
256634,195,75
286825,176,74
293687,176,74
353236,180,78
355937,184,63
377071,179,71
447379,178,70
36,187,91
48,189,88
54,180,76
3424,195,90
8292,174,76
8717,188,86
8945,178,72
8992,185,78
11152,185,88
13484,188,80
14911,183,77
20441,181,80
25381,188,82
25785,176,76
25804,187,91
40765,172,72
61967,184,87
77536,184,84
136441,182,76
-1,1000,1000
210044,188,90
240070,176,74
257762,187,79
270828,175,73
402884,174,64
456053,182,69
3662,184,80
8277,183,83
8307,193,85
8317,173,67
8325,173,70
8464,174,60
9380,188,75
11066,170,69
14808,180,80
26136,185,85
26150,179,62
38021,181,68
70083,184,78
70085,188,84
70086,183,81
71654,187,89
105339,179,67
134502,191,86
241564,175,64
245364,184,76
265673,173,64
340386,175,67
404397,170,68
